Driver_ID,Date_Of_Joining,Total_Business_Value,Total_Had_Negative_Business,Has_Income_Increased,Has_Rating_Increased,Avg_Business_Value,Last_Reporting_Month,Age,Gender,Income,Total_Income,Education_Level,City,Joining_Designation,Grade,Quarterly_Rating,Last_Working_Date,Churned,Tenure,Date_Of_Joining_month,Date_Of_Joining_year,Is_Valuable_Driver
43,2018-07-13,359890,1,0,0,179945,2019-02-01,27,0,12906,25812,0,C15,1,1,1,2019-02-20,1,222,7,2018,1
44,2020-09-25,150110,1,0,0,50036,2020-11-01,28,0,62100,186300,2,C17,1,1,1,2020-11-24,1,60,9,2020,0
45,2020-05-29,5227340,5,0,1,746762,2020-12-01,35,0,77544,542808,2,C8,3,3,3,,0,216,5,2020,1
46,2018-10-28,338290,2,0,0,112763,2019-03-01,36,1,42171,126513,2,C25,1,1,1,2019-02-27,1,122,10,2018,1
47,2020-09-10,866270,2,0,0,288756,2020-12-01,30,0,28000,84000,1,C21,1,1,2,,0,112,9,2020,1
49,2018-05-25,1798800,7,0,1,138369,2020-01-01,37,0,53039,689507,0,C20,1,2,1,2020-01-21,1,606,5,2018,1
50,2018-11-20,110310,1,0,0,55155,2019-02-01,49,1,89367,178734,0,C5,3,3,1,2019-02-20,1,92,11,2018,0
51,2017-05-22,3190010,6,0,1,319001,2019-12-01,34,0,131347,1313470,0,C14,4,4,1,2019-12-23,1,945,5,2017,1
52,2020-06-28,1852590,4,0,1,308765,2020-12-01,37,0,48687,292122,0,C19,3,3,2,,0,186,6,2020,1
54,2019-11-07,33823290,11,1,1,1879071,2020-12-01,35,0,127826,2192705,1,C29,4,5,1,,0,420,11,2019,1
55,2019-11-21,0,0,0,0,0,2020-03-01,30,1,29985,149925,0,C8,1,1,1,2020-03-15,1,115,11,2019,0
56,2018-07-20,11723470,18,0,1,488477,2020-12-01,36,1,80223,1925352,2,C19,1,1,3,,0,895,7,2018,1
57,2017-07-26,22791310,17,0,1,1199542,2020-07-01,38,1,84318,1602042,1,C1,1,2,3,2020-07-21,1,1091,7,2017,1
58,2018-10-15,0,0,0,0,0,2019-01-01,41,0,57987,57987,0,C4,2,2,1,2019-01-25,1,102,10,2018,0
59,2019-06-01,134660,1,0,0,44886,2019-03-01,35,1,31644,94932,1,C18,1,1,1,2019-03-28,1,65,6,2019,1
60,2016-09-17,49225520,24,1,0,2051063,2020-12-01,48,1,82126,2015820,0,C20,1,3,4,,0,1566,9,2016,1
61,2018-04-05,-439300,0,0,0,-146433,2019-03-01,32,0,19818,59454,2,C11,1,1,1,2019-03-17,1,346,4,2018,0
62,2020-11-28,0,0,0,0,0,2020-12-01,27,0,62376,62376,2,C9,1,1,1,,0,33,11,2020,0
63,2016-04-30,12293120,24,0,1,512213,2020-12-01,38,0,93931,2254344,0,C6,1,3,1,,0,1706,4,2016,1
64,2020-01-31,193940,1,0,0,38788,2020-06-01,33,0,66502,332510,2,C27,2,2,1,2020-06-19,1,140,1,2020,0
65,2018-07-31,11718580,16,0,1,651032,2020-06-01,30,1,69539,1251702,1,C7,2,2,2,2020-06-16,1,686,7,2018,1
66,2020-01-21,0,0,0,0,0,2020-02-01,27,1,104286,208572,2,C4,3,3,1,,0,345,1,2020,0
67,2019-04-01,12543500,19,0,1,522645,2020-12-01,41,0,65982,1583568,2,C28,1,2,2,,0,640,4,2019,1
68,2015-10-18,27309820,24,0,1,1137909,2020-12-01,32,0,79288,1902912,0,C29,1,3,3,,0,1901,10,2015,1
69,2019-11-14,4640080,6,0,1,421825,2020-09-01,41,1,64604,710644,1,C7,2,2,1,2020-12-09,1,391,11,2019,1
70,2018-08-10,0,0,0,0,0,2019-01-01,35,0,19235,19235,1,C20,1,1,1,2019-01-29,1,172,8,2018,0
71,2018-05-25,188780,1,0,0,94390,2019-02-01,43,0,54103,108206,2,C20,3,3,1,2019-02-15,1,266,5,2018,1
72,2020-10-18,193580,1,0,0,64526,2020-12-01,28,0,42242,126726,2,C14,2,2,1,,0,74,10,2020,1
74,2020-01-05,592270,3,0,0,98711,2020-10-01,35,1,59216,355296,2,C5,2,2,1,2020-10-24,1,293,1,2020,1
75,2020-07-21,2365930,4,0,0,394321,2020-12-01,25,1,39884,239304,2,C18,2,2,2,2020-12-13,1,145,7,2020,1
77,2018-05-18,17959920,22,0,1,748330,2020-12-01,34,0,63918,1534032,2,C3,1,2,2,,0,958,5,2018,1
78,2018-09-16,43531510,21,0,1,1813812,2020-12-01,37,0,105946,2542704,0,C21,2,4,2,,0,837,9,2018,1
79,2019-09-07,0,0,0,0,0,2019-08-01,32,0,114648,229296,1,C14,4,4,1,2019-09-08,1,1,9,2019,0
80,2020-02-10,153300,1,0,0,51100,2020-12-01,29,1,56687,170061,0,C7,2,2,1,,0,325,2,2020,0
81,2018-12-06,3133680,9,0,0,313368,2019-10-01,39,0,77177,771770,2,C9,1,2,2,2019-04-10,1,125,12,2018,1
82,2020-11-04,0,0,0,0,0,2020-08-01,37,1,89013,445065,1,C24,3,3,1,2020-07-29,1,98,11,2020,0
83,2019-08-29,750000,1,0,0,75000,2020-06-01,34,0,115159,1151590,2,C23,3,3,1,2020-07-06,1,312,8,2019,0
84,2019-04-07,8688020,9,0,1,579201,2020-09-01,42,0,25950,389250,0,C16,1,1,2,2020-04-09,1,368,4,2019,1
85,2020-09-28,0,0,0,0,0,2020-12-01,25,0,49509,148527,2,C22,1,1,1,,0,94,9,2020,0
86,2018-05-28,0,0,0,0,0,2019-01-01,35,0,49510,49510,2,C2,1,1,1,2019-01-27,1,244,5,2018,0
87,2019-08-31,36029220,13,0,1,2251826,2020-12-01,37,0,119341,1909456,1,C6,3,3,4,,0,488,8,2019,1
88,2018-06-01,3248870,4,0,0,541478,2019-06-01,45,1,62298,373788,0,C3,2,2,3,2019-03-06,1,278,6,2018,1
89,2019-05-30,6131430,8,0,1,408762,2020-08-01,28,0,58977,884655,1,C2,2,2,1,2020-07-29,1,426,5,2019,1
90,2019-11-11,543640,2,0,0,108728,2020-03-01,33,0,29408,147040,0,C22,2,2,1,2020-10-03,1,327,11,2019,1
91,2019-03-08,200000,1,0,0,40000,2019-12-01,31,0,22731,113655,0,C21,2,2,1,2019-12-15,1,282,3,2019,1
93,2018-07-14,1220120,1,0,0,610060,2019-02-01,30,0,39527,79054,2,C17,2,2,2,2019-03-02,1,231,7,2018,1
95,2020-01-30,0,0,0,0,0,2020-03-01,29,1,60874,121748,2,C14,3,3,1,2020-09-03,1,217,1,2020,0
96,2020-07-17,0,0,0,0,0,2020-11-01,35,0,64953,324765,2,C12,3,3,1,2020-11-27,1,133,7,2020,0
97,2020-03-10,350000,1,0,0,116666,2020-12-01,40,1,80771,242313,2,C2,3,3,1,,0,296,3,2020,1
98,2019-08-15,21415440,10,1,1,1259731,2020-12-01,25,0,63774,1003000,0,C16,2,3,2,2020-12-25,1,498,8,2019,1
99,2020-03-24,0,0,0,0,0,2020-08-01,30,0,38068,228408,0,C23,2,2,1,2020-07-29,1,127,3,2020,0
101,2017-03-12,1759840,4,0,0,351968,2019-05-01,33,0,38945,194725,0,C10,1,1,2,2019-03-05,1,723,3,2017,1
102,2019-05-01,0,0,0,0,0,2019-03-01,22,1,42270,126810,0,C12,1,1,1,2019-03-21,1,41,5,2019,0
103,2019-11-30,544380,3,0,0,68047,2020-07-01,36,1,68913,551304,1,C28,2,2,1,2020-04-07,1,129,11,2019,0
104,2020-08-16,1252320,2,0,1,250464,2020-12-01,30,1,60332,301660,1,C23,2,2,2,,0,137,8,2020,1
105,2018-09-18,0,0,0,0,0,2019-01-01,38,0,67931,67931,0,C4,1,1,1,2019-06-01,1,256,9,2018,0
106,2016-05-27,4504880,7,0,0,563110,2019-08-01,34,1,57671,461368,0,C22,1,3,2,2019-02-08,1,987,5,2016,1
107,2019-12-12,4545450,9,0,1,378787,2020-11-01,35,0,102142,1225704,2,C9,3,3,1,2020-11-27,1,351,12,2019,1
108,2020-09-01,864350,1,0,0,144058,2020-06-01,38,0,121259,727554,2,C22,3,3,1,2020-02-06,1,208,9,2020,1
109,2020-04-14,1927920,7,0,1,214213,2020-12-01,36,1,33927,305343,0,C6,1,1,2,,0,261,4,2020,1
110,2019-09-19,251810,2,0,0,41968,2020-02-01,32,1,32663,195978,1,C16,1,1,1,2020-02-17,1,151,9,2019,1
111,2016-12-13,2167840,7,0,0,240871,2019-09-01,52,0,73769,663921,1,C13,2,3,1,2019-09-17,1,1008,12,2016,1
112,2018-06-30,13121470,21,0,1,546727,2020-12-01,46,0,50466,1211184,1,C29,1,1,3,,0,915,6,2018,1
113,2019-06-23,670440,1,0,1,134088,2019-10-01,42,1,47160,235800,0,C10,1,1,1,2019-10-17,1,116,6,2019,1
114,2020-09-28,0,0,0,0,0,2020-12-01,32,1,89456,268368,0,C19,3,3,1,,0,94,9,2020,0
115,2015-07-23,12674940,22,0,1,528122,2020-12-01,46,0,31752,762048,1,C1,1,3,2,,0,1988,7,2015,1
116,2018-04-12,1116990,7,0,1,124110,2019-09-01,22,0,16477,148293,0,C11,1,1,1,2019-09-23,1,529,4,2018,1
117,2016-01-28,40152720,24,0,0,1673030,2020-12-01,47,1,144978,3479472,1,C1,1,5,4,,0,1799,1,2016,1
118,2020-10-03,150700,1,0,0,21528,2020-09-01,42,1,67904,475328,0,C27,3,3,1,2020-09-15,1,18,10,2020,0
119,2019-11-16,557720,1,0,0,111544,2020-03-01,32,1,71000,355000,1,C29,3,3,1,2020-03-24,1,129,11,2019,1
120,2019-09-28,0,0,0,0,0,2020-04-01,27,0,114258,799806,2,C14,3,3,1,2020-03-29,1,183,9,2019,0
121,2020-07-03,0,0,0,0,0,2020-05-01,33,1,58885,176655,2,C13,3,3,1,2020-05-24,1,40,7,2020,0
122,2020-07-08,605760,2,0,1,121152,2020-12-01,27,0,57406,287030,0,C26,2,2,2,,0,176,7,2020,1
123,2018-07-10,2184160,5,0,0,242684,2019-09-01,44,0,41401,372609,1,C24,1,1,2,2019-09-23,1,440,7,2018,1
125,2018-07-29,1221780,4,0,0,174540,2019-07-01,33,1,30847,215929,2,C10,1,1,2,2019-07-21,1,357,7,2018,1
127,2018-04-05,-70000,0,0,0,-23333,2019-03-01,33,0,84085,252255,1,C28,3,3,1,2019-01-03,1,273,4,2018,0
129,2020-11-07,436190,2,0,0,72698,2020-12-01,38,1,60708,364248,1,C6,2,2,1,,0,54,11,2020,1
130,2020-01-17,2928710,4,0,0,366088,2020-08-01,38,0,39990,319920,1,C28,2,2,1,2020-07-29,1,194,1,2020,1
131,2013-10-21,2620360,6,0,0,238214,2019-11-01,38,1,79086,869946,1,C19,2,3,2,2019-11-11,1,2212,10,2013,1
132,2020-01-05,0,0,0,0,0,2020-07-01,27,0,43165,129495,2,C20,2,2,1,2020-07-20,1,197,1,2020,0
133,2018-07-30,873110,4,0,0,174622,2019-05-01,44,1,46858,234290,2,C23,1,1,2,2019-05-23,1,297,7,2018,1
134,2020-12-10,190550,1,0,0,63516,2020-12-01,32,0,76904,230712,0,C27,3,3,1,,0,21,12,2020,0
135,2020-09-15,1517680,3,0,1,379420,2020-12-01,28,0,98877,395508,0,C22,3,3,2,,0,107,9,2020,1
136,2018-02-10,0,0,0,0,0,2019-01-01,37,1,47009,47009,0,C10,1,1,1,2019-05-01,1,445,2,2018,0
137,2020-05-06,6570070,6,0,1,938581,2020-12-01,42,0,33459,234213,0,C28,2,2,4,,0,239,5,2020,1
138,2018-01-26,0,0,0,0,0,2019-01-01,48,0,34827,34827,2,C21,1,1,1,2019-06-01,1,491,1,2018,0
139,2019-10-31,0,0,0,0,0,2019-12-01,32,0,51850,103700,1,C14,2,2,1,2019-05-12,1,172,10,2019,0
140,2016-04-29,13939940,23,0,0,580830,2020-12-01,38,0,72253,1734072,1,C9,1,2,3,,0,1707,4,2016,1
141,2020-10-07,0,0,0,0,0,2020-11-01,35,0,65901,329505,1,C22,2,2,1,2020-10-31,1,24,10,2020,0
142,2018-10-06,122040,1,0,0,61020,2019-02-01,24,0,29807,59614,1,C16,1,1,1,2019-08-02,1,300,10,2018,1
143,2018-01-05,340560,3,0,0,113520,2019-03-01,40,0,24150,72450,2,C12,1,1,1,2019-02-27,1,418,1,2018,1
144,2019-08-19,0,0,0,0,0,2019-11-01,27,0,21933,87732,2,C28,1,1,1,2019-11-24,1,97,8,2019,0
145,2020-02-13,1847280,1,0,1,369456,2020-06-01,35,0,75112,375560,1,C13,3,3,3,2020-06-22,1,130,2,2020,1
147,2019-07-20,0,0,0,0,0,2019-10-01,36,0,85172,340688,1,C9,2,2,1,2019-01-10,1,191,7,2019,0
148,2020-11-12,0,0,0,0,0,2020-12-01,41,0,45288,45288,0,C15,2,2,1,,0,49,11,2020,0
149,2020-04-17,0,0,0,0,0,2020-07-01,34,1,61913,247652,0,C20,3,3,1,2020-07-22,1,96,4,2020,0
150,2016-04-22,24273480,24,0,1,1011395,2020-12-01,39,0,29013,696312,0,C17,1,3,2,,0,1714,4,2016,1
151,2019-09-15,950170,3,0,0,190034,2020-01-01,30,0,89602,448010,0,C15,4,4,1,2020-01-21,1,128,9,2019,1
152,2018-03-06,1419720,5,0,1,236620,2019-06-01,31,0,31547,189282,0,C17,1,2,1,2019-06-15,1,466,3,2018,1
153,2018-10-14,1472800,3,0,1,133890,2019-11-01,38,1,148588,1634468,1,C22,5,5,1,2019-11-19,1,401,10,2018,0
154,2020-03-07,0,0,0,0,0,2020-10-01,30,0,47211,188844,1,C21,1,1,1,2020-10-18,1,225,3,2020,0
155,2017-10-09,1602380,2,0,0,801190,2019-02-01,27,0,118363,236726,1,C26,2,3,2,2019-02-26,1,505,10,2017,1
156,2018-01-07,0,0,0,0,0,2019-03-01,41,1,41046,123138,1,C9,1,1,1,2019-02-28,1,417,1,2018,0
158,2020-03-07,0,0,0,0,0,2020-09-01,26,0,45832,137496,1,C22,1,1,1,2020-09-23,1,200,3,2020,0
159,2017-07-21,6278140,12,0,0,448438,2020-02-01,44,1,30121,421694,1,C4,1,1,4,2020-02-17,1,941,7,2017,1
161,2018-06-19,0,0,0,0,0,2019-04-01,38,0,35793,143172,2,C25,1,1,1,2019-03-29,1,283,6,2018,0
162,2019-10-31,0,0,0,0,0,2020-01-01,36,0,100064,200128,1,C2,3,3,1,2019-12-30,1,60,10,2019,0
163,2020-08-05,0,0,0,0,0,2020-09-01,29,0,25731,128655,0,C6,1,1,1,2020-09-27,1,53,8,2020,0
164,2019-06-17,10395250,10,0,1,577513,2020-11-01,37,1,106171,1911078,0,C26,1,4,1,2020-11-27,1,529,6,2019,1
165,2018-10-16,0,0,0,0,0,2019-01-01,25,1,76307,76307,2,C21,2,2,1,2019-01-15,1,91,10,2018,0
167,2018-02-03,1154620,2,0,0,230924,2019-05-01,26,0,35283,176415,1,C18,1,1,2,2019-06-05,1,487,2,2018,1
168,2019-07-10,12087570,14,0,1,805838,2020-12-01,26,0,33057,495855,2,C15,2,2,3,,0,540,7,2019,1
169,2018-01-05,5239360,11,0,1,436613,2019-12-01,34,0,38409,460908,2,C14,2,2,2,2019-11-29,1,693,1,2018,1
170,2019-04-07,1987680,1,0,0,397536,2019-11-01,35,0,91458,457290,2,C7,3,3,1,2019-11-23,1,230,4,2019,1
171,2018-08-24,3466180,3,0,0,495168,2019-07-01,44,1,56242,393694,1,C23,2,2,3,2019-07-21,1,331,8,2018,1
172,2017-07-11,5365850,5,0,1,766550,2019-07-01,41,1,101395,709765,2,C6,2,3,2,2019-06-29,1,718,7,2017,1
173,2014-06-13,19866290,24,0,1,827762,2020-12-01,39,0,56174,1348176,0,C28,1,3,2,,0,2393,6,2014,1
174,2018-07-27,2970500,3,0,0,594100,2019-05-01,39,1,22065,110325,1,C21,1,1,3,2019-04-05,1,252,7,2018,1
175,2018-09-22,19580,1,0,0,3916,2019-05-01,31,0,27889,139445,0,C13,1,1,1,2019-04-05,1,195,9,2018,0
176,2020-04-05,0,0,0,0,0,2020-08-01,34,0,21276,85104,0,C15,1,1,1,2020-07-29,1,115,4,2020,0
177,2018-12-14,600000,1,0,0,100000,2019-06-01,31,0,43053,258318,1,C4,1,1,1,2019-10-06,1,296,12,2018,1
178,2018-11-09,550000,4,0,0,61111,2019-09-01,23,1,36637,329733,0,C7,2,2,1,2019-09-26,1,321,11,2018,1
179,2018-05-26,1616780,4,0,0,323356,2019-05-01,38,1,24490,122450,2,C11,1,1,2,2019-04-05,1,314,5,2018,1
180,2018-06-26,0,0,0,0,0,2019-11-01,34,0,95694,1052634,1,C29,2,4,1,2019-11-15,1,507,6,2018,0
181,2020-06-11,0,0,0,0,0,2020-12-01,30,1,26926,53852,2,C17,3,3,1,,0,203,6,2020,0
182,2020-01-13,866320,2,0,1,123760,2020-07-01,32,0,25832,180824,2,C22,1,1,1,2020-04-07,1,85,1,2020,1
183,2019-03-11,903800,3,0,0,129114,2020-05-01,26,1,43263,302841,2,C23,1,1,1,2020-05-25,1,441,3,2019,1
184,2020-12-04,903160,1,0,0,225790,2020-07-01,34,1,62199,248796,2,C21,2,2,1,2020-05-07,1,211,12,2020,1
185,2016-11-30,2416570,6,0,1,302071,2019-08-01,29,0,82120,656960,0,C1,1,3,1,2019-08-18,1,991,11,2016,1
187,2019-02-11,151600,1,0,0,30320,2020-03-01,34,0,20922,104610,1,C26,2,2,1,2020-03-15,1,398,2,2019,1
188,2019-11-15,2516690,12,0,1,179763,2020-12-01,34,0,36483,510762,0,C12,2,2,1,,0,412,11,2019,1
190,2018-07-11,121980,1,0,0,11089,2019-11-01,36,1,108051,1188561,0,C1,4,4,1,2019-02-11,1,215,7,2018,0
191,2019-12-19,10666090,11,0,1,820468,2020-12-01,27,1,63380,823940,2,C11,3,3,3,,0,378,12,2019,1
192,2020-10-04,2412240,4,0,1,268026,2020-12-01,37,1,66952,602568,1,C9,3,3,1,,0,88,10,2020,1
193,2018-07-05,9983020,14,0,1,713072,2020-02-01,47,0,59084,827176,2,C26,1,2,3,2020-02-22,1,597,7,2018,1
194,2020-06-28,2000000,1,0,0,500000,2020-10-01,30,0,54074,216296,0,C8,2,2,1,2020-12-10,1,165,6,2020,1
195,2020-09-28,0,0,0,0,0,2020-12-01,27,0,19419,58257,0,C18,1,1,1,2020-11-28,1,61,9,2020,0
196,2020-05-29,1150720,2,0,1,164388,2020-12-01,44,0,75001,525007,1,C14,3,3,2,2020-12-26,1,211,5,2020,1
197,2013-10-16,1985150,6,0,0,220572,2019-09-01,41,0,94594,851346,1,C25,2,3,1,2019-09-23,1,2168,10,2013,1
199,2016-12-16,31533700,23,0,1,1313904,2020-12-01,30,0,87902,2109648,0,C14,1,3,3,,0,1476,12,2016,1
200,2019-11-28,0,0,0,0,0,2020-06-01,46,0,66707,466949,1,C8,3,3,1,2020-06-27,1,212,11,2019,0
201,2019-05-30,0,0,0,0,0,2019-09-01,38,1,42260,169040,0,C5,3,3,1,2019-07-09,1,40,5,2019,0
202,2020-10-30,593300,1,0,0,296650,2020-12-01,33,0,28921,57842,0,C28,1,1,2,,0,62,10,2020,1
203,2019-04-07,2816440,5,0,1,165672,2020-11-01,34,1,84713,1440121,2,C4,3,3,1,2020-11-13,1,586,4,2019,1
204,2017-05-12,337230,2,0,0,84307,2019-04-01,31,1,68151,272604,0,C14,1,2,1,2019-03-29,1,686,5,2017,1
205,2020-12-20,0,0,0,0,0,2020-12-01,39,0,15826,15826,0,C12,1,1,1,,0,11,12,2020,0
206,2020-09-28,0,0,0,0,0,2020-12-01,26,1,12968,38904,0,C10,1,1,1,,0,94,9,2020,0
207,2018-09-05,3209720,3,0,0,802430,2019-04-01,32,0,61894,247576,0,C29,3,3,2,2019-04-16,1,223,9,2018,1
208,2019-06-01,376780,3,0,0,75356,2019-05-01,31,0,31657,158285,2,C16,1,1,1,2019-05-24,1,8,6,2019,1
210,2020-03-05,802540,3,0,0,100317,2020-12-01,38,0,64583,516664,2,C29,3,3,1,,0,301,3,2020,1
211,2020-05-06,0,0,0,0,0,2020-08-01,34,1,81730,245190,2,C6,3,3,1,2020-07-29,1,84,5,2020,0
213,2018-05-09,12182590,20,0,1,507607,2020-12-01,37,0,59947,1438728,0,C24,2,2,2,,0,967,5,2018,1
215,2019-07-19,1742410,7,0,1,158400,2020-05-01,26,1,17307,190377,1,C15,1,1,1,2020-05-17,1,303,7,2019,1
216,2019-04-07,7020890,9,0,1,540068,2020-07-01,30,0,86340,1122420,1,C20,2,2,1,2020-07-25,1,475,4,2019,1
217,2016-05-20,5854230,4,0,0,975705,2019-06-01,32,0,27328,163968,1,C10,1,2,4,2019-06-24,1,1130,5,2016,1
218,2020-07-31,734620,3,0,1,146924,2020-12-01,25,0,27979,139895,0,C21,1,1,2,,0,153,7,2020,1
219,2018-11-05,2805350,5,0,0,255031,2019-11-01,36,0,51657,568227,0,C5,2,2,2,2019-11-11,1,371,11,2018,1
220,2013-11-20,2784450,6,0,1,278445,2019-10-01,38,1,107539,1075390,1,C18,2,3,1,2019-10-14,1,2154,11,2013,1
221,2018-12-29,0,0,0,0,0,2019-01-01,31,0,13051,13051,0,C3,1,1,1,2019-01-19,1,21,12,2018,0
222,2019-12-09,0,0,0,0,0,2019-10-01,26,0,92753,185506,0,C2,3,3,1,2019-08-10,1,121,12,2019,0
223,2018-08-24,1559910,3,0,0,389977,2019-04-01,25,0,59108,236432,0,C20,2,2,2,2019-04-13,1,232,8,2018,1
225,2020-07-13,2242270,4,0,1,373711,2020-12-01,32,1,44792,268752,0,C14,3,3,3,,0,171,7,2020,1
226,2019-09-11,1172300,4,0,0,167471,2020-05-01,36,1,55528,388696,1,C18,2,2,1,2020-02-05,1,147,9,2019,1
227,2020-01-05,7237950,5,0,1,904743,2020-12-01,45,1,61912,495296,2,C29,3,3,1,2020-12-12,1,342,1,2020,1
228,2016-07-25,10390120,16,0,0,611183,2020-05-01,45,0,53385,907545,2,C6,1,1,4,2020-01-05,1,1259,7,2016,1
229,2019-03-08,11947410,8,0,1,1327490,2020-04-01,43,0,104995,944955,0,C28,4,4,2,2020-10-04,1,576,3,2019,1
230,2018-10-13,5824480,9,0,1,448036,2020-01-01,34,0,44359,576667,0,C25,2,2,2,2019-12-30,1,443,10,2018,1
231,2018-10-22,0,0,0,0,0,2019-01-01,32,0,21354,21354,1,C5,1,1,1,2019-05-01,1,191,10,2018,0
232,2018-03-07,0,0,0,0,0,2019-01-01,34,0,23185,23185,2,C15,1,1,1,2019-01-21,1,320,3,2018,0
233,2020-06-28,500000,1,0,0,83333,2020-12-01,36,1,139139,834834,1,C27,3,3,1,,0,186,6,2020,0
234,2020-02-01,2800740,9,0,1,233395,2020-12-01,27,1,52616,631392,1,C23,2,2,2,,0,334,2,2020,1
235,2018-08-10,0,0,0,0,0,2019-02-01,39,1,37873,75746,0,C16,1,1,1,2019-11-02,1,449,8,2018,0
237,2020-04-09,181070,1,0,0,45267,2020-12-01,33,0,75626,302504,0,C10,3,3,1,,0,266,4,2020,0
238,2020-01-14,495310,2,0,0,82551,2020-06-01,32,0,40168,241008,0,C20,2,2,1,2020-06-27,1,165,1,2020,1
241,2018-12-11,0,0,0,0,0,2019-01-01,24,0,33901,33901,0,C1,1,1,1,2019-06-01,1,172,12,2018,0
242,2019-03-11,0,0,0,0,0,2020-01-01,28,0,11236,33708,0,C21,1,1,1,2020-07-01,1,478,3,2019,0
243,2020-08-14,483150,2,0,0,96630,2020-12-01,26,0,60228,301140,2,C4,3,3,1,,0,139,8,2020,1
